iteration,exploitability
0,0.5
10,0.4707686289873851
20,0.04286454545205115
30,0.028119044718541042
40,0.011746824624468133
50,0.0037290348776088944
60,0.0015527248235625013
70,0.002531743793196539
80,0.0027559259949722636
90,0.002335405673407509
100,0.0014251719626429682
110,0.0004710805084300329
120,0.000405999958194625
130,0.0008254723783305273
140,0.0008687900316177721
150,0.000669362618573921
160,0.00036360145062053206
170,7.141164120361143e-05
180,0.0001253809547274165
190,0.00020144364884538968
200,0.0001932161482161021
210,0.00013658199467603271
220,6.325494521919328e-05
230,1.0112401221840095e-05
240,5.1662086290982234e-05
250,6.283157187719768e-05
260,5.17813786035104e-05
270,3.0414074728757345e-05
280,8.10788735688961e-06
290,7.603527209076866e-06
300,1.410143265773156e-05
310,1.3952294622976424e-05
320,9.92057431614679e-06
330,4.461259723198552e-06
340,1.065912758280163e-06
350,4.1448713508640544e-06
360,4.825556604248771e-06
370,3.8293787467669205e-06
380,2.0830195269216922e-06
390,3.442558736410639e-07
400,7.731141797862051e-07
410,1.1810485953667182e-06
420,1.0799578474829374e-06
430,7.064260010292145e-07
440,2.527634332394335e-07
450,1.852812122615788e-07
460,3.904811350374793e-07
470,4.006326226879686e-07
480,2.893160033212716e-07
490,1.3091748901628009e-07
500,1.3444344693080978e-08
510,8.614543872687008e-08
520,1.0576199632739147e-07
530,8.659386641074462e-08
540,4.8788901918506156e-08
550,9.453828164751599e-09
560,2.5902995581805754e-08
570,3.7872366243085764e-08
580,3.3893018114294904e-08
590,2.1405108463490308e-08
600,6.745130620711137e-09
610,4.488284466308556e-09
620,9.317339455527929e-09
630,9.514882270966751e-09
640,6.8621910376265305e-09
650,3.0585728394427747e-09
660,8.953295882463408e-10
670,3.1532791933130966e-09
680,3.625385602834541e-09
690,2.8386636929944586e-09
700,1.4813683613112971e-09
710,1.4662687730648827e-10
720,6.966363597094016e-10
730,9.654330668240618e-10
740,8.460780964725245e-10
750,5.223839139034681e-10
760,1.5201295777700352e-10
770,2.101509521956757e-10
780,3.5503228135169707e-10
790,3.398848424929213e-10
800,2.3134905102750736e-10
810,9.085521224250215e-11
820,3.643818580201241e-11
830,9.031742020937372e-11
840,9.833595049357768e-11
850,7.541661739551841e-11
860,3.882560939416635e-11
870,8.039680032823071e-12
880,3.270667070509603e-11
890,3.955125116306135e-11
900,3.290262506894237e-11
910,1.960936968359306e-11
920,5.7577831391597556e-12
930,8.878675572532302e-12
940,1.2059298004629682e-11
950,1.109534686349889e-11
960,7.857159367574695e-12
970,3.945288540307956e-12
980,3.79318798593431e-12
990,5.391020962974835e-12
1000,5.31047428253828e-12
1010,4.1666670114182125e-12
1020,2.6285085219512894e-12
1030,1.7156831511044857e-12
1040,2.2510882047299674e-12
1050,2.311095759210957e-12
1060,2.021882661296104e-12
1070,1.576905273026341e-12
1080,1.1484702078234932e-12
1090,1.3567480472431726e-12
1100,1.3992140779350848e-12
1110,1.2919665337562947e-12
1120,1.105171509863112e-12
1130,9.102163467389346e-13
1140,8.748002322533921e-13
1150,8.749667657070859e-13
1160,8.320566458053236e-13
1170,7.620015729514762e-13
1180,6.867839630331218e-13
1190,6.532552276894421e-13
1200,6.431521981653532e-13
1210,6.159517340620368e-13
1220,5.777045508637002e-13
1230,5.359046539865631e-13
1240,4.996558722325517e-13
1250,4.805045250577678e-13
1260,4.601319325558961e-13
1270,4.3720582709738665e-13
1280,4.134470543704083e-13
1290,3.947397964054744e-13
1300,3.768652057090094e-13
1310,3.6098901645686965e-13
1320,3.447242491461111e-13
1330,3.2951419370874646e-13
1340,3.1541436129600697e-13
1350,3.019806626980426e-13
1360,2.893241202173158e-13
1370,2.773337115513641e-13
1380,2.6584290324649373e-13
1390,2.549627176051672e-13
1400,2.4452662117369073e-13
1410,2.3475665855698935e-13
1420,2.2537527399890678e-13
1430,2.1649348980190553e-13
1440,2.0788926136106056e-13
1450,1.9978463328129692e-13
1460,1.9206858326015208e-13
1470,1.8446355554146976e-13
1480,1.775801727887938e-13
1490,1.7064127888488656e-13
1500,1.6420198534206065e-13
1510,1.57818202950466e-13
1520,1.5193402091995267e-13
1530,1.4632739464559563e-13
1540,1.411093464298574e-13
1550,1.3616885397027545e-13
1560,1.315059172668498e-13
1570,1.2656542480726785e-13
1580,1.219024881038422e-13
1590,1.172950625516478e-13
1600,1.1296519275560968e-13
1610,1.0880185641326534e-13
1620,1.053046538856961e-13
1630,1.0197398481182063e-13
1640,9.864331573794516e-14
1650,9.586775817638227e-14
1660,9.287015600989434e-14
1670,8.987255384340642e-14
1680,8.731904088676856e-14
1690,8.465450562766819e-14
1700,8.204548151979907e-14
1710,7.960299086562372e-14
1720,7.72715225139109e-14
1730,7.527312106958561e-14
1740,7.349676423018536e-14
1750,7.144285163462882e-14
1760,6.961098364399732e-14
1770,6.777911565336581e-14
1780,6.611378111642807e-14
1790,6.444844657949034e-14
1800,6.283862319378386e-14
1810,6.13398221105399e-14
1820,5.98965321785272e-14
1830,5.845324224651449e-14
1840,5.71209746169643e-14
1850,5.56776846849516e-14
1860,5.417888360170764e-14
1870,5.295763827461997e-14
1880,5.179190409876355e-14
1890,5.062616992290714e-14
1900,4.929390229335695e-14
1910,4.807265696626928e-14
1920,4.7128967395337895e-14
1930,4.6129766673175254e-14
1940,4.529709940470639e-14
1950,4.424238753131249e-14
1960,4.3298697960381105e-14
1970,4.2521541843143495e-14
1980,4.163336342344337e-14
1990,4.08006961549745e-14
