lam,beta,gamma,alpha,final_exploitability
0.3,0.5,5.0,2.0,0.00026056633398068295
0.3,0.6,5.0,2.0,8.718003135316232e-05
0.3,0.7,5.0,2.0,0.00011675993710054678
0.3,0.8,5.0,2.0,0.00034168603041371816
0.3,0.9,5.0,2.0,0.0003688880321916832
0.3,0.99,5.0,2.0,0.00032927965720614403
0.4,0.01,5.0,2.0,0.005570942846281823
0.4,0.1,5.0,2.0,0.0003582091362675954
0.4,0.2,5.0,2.0,1.1913279116931852e-05
0.4,0.3,5.0,2.0,1.907131223444214e-06
0.4,0.4,5.0,2.0,3.9911668835101995e-06
0.4,0.5,5.0,2.0,2.4592353699892654e-06
0.4,0.6,5.0,2.0,3.5465850694471614e-06
0.4,0.7,5.0,2.0,0.0002725935946067959
0.4,0.8,5.0,2.0,8.016924375529034e-05
0.4,0.9,5.0,2.0,0.00010712865683145112
0.4,0.99,5.0,2.0,1.063844119153501e-06
0.5,0.01,5.0,2.0,0.004810211812537479
0.5,0.1,5.0,2.0,7.621554713819201e-05
0.5,0.2,5.0,2.0,1.447477884941595e-07
0.5,0.3,5.0,2.0,3.9646874505638864e-09
0.5,0.4,5.0,2.0,7.855826424318923e-07
0.5,0.5,5.0,2.0,5.359902524415539e-06
0.5,0.6,5.0,2.0,1.7526534547673834e-06
0.5,0.7,5.0,2.0,0.00010179753847144312
0.5,0.8,5.0,2.0,4.9918597505582696e-08
0.5,0.9,5.0,2.0,7.719029232158836e-05
0.5,0.99,5.0,2.0,1.2046734197096453e-05
0.6,0.01,5.0,2.0,0.0043065337577295635
0.6,0.1,5.0,2.0,5.8409479136711794e-08
0.6,0.2,5.0,2.0,4.340746151410002e-10
0.6,0.3,5.0,2.0,7.45911887811701e-11
0.6,0.4,5.0,2.0,6.354637952454833e-07
0.6,0.5,5.0,2.0,1.5866652486318243e-08
0.6,0.6,5.0,2.0,3.2498858903995397e-08
0.6,0.7,5.0,2.0,2.1527288865397232e-07
0.6,0.8,5.0,2.0,2.4364446995495113e-07
0.6,0.9,5.0,2.0,1.9344873727678013e-06
0.6,0.99,5.0,2.0,3.029006003574253e-07
0.7,0.01,5.0,2.0,0.003139311863952621
0.7,0.1,5.0,2.0,1.4089292621477511e-09
