iteration,exploitability
0,0.5
10,0.32021153591824314
20,0.12145167041314336
30,0.04530898813930184
40,0.028300731717460448
50,0.01465149923461223
60,0.011993122821757407
70,0.009845449812997176
80,0.002891759712854214
90,0.003761012360265381
100,0.0037811495433794917
110,0.002349343806550108
120,0.0011310835453714474
130,0.0017230091259543556
140,0.0013061659317501473
150,0.0005909921143659735
160,0.0009946337370345115
170,0.0011012986680682402
180,0.0005938963356822979
190,0.0002231948094606473
200,0.0004970059848907193
210,0.0004084868635536587
220,0.0001400637926839976
230,0.00028382656268460815
240,0.0003446104739649458
250,0.00021128139046788785
260,6.672172876426297e-05
270,0.00015531913374677853
280,0.000142927408928184
290,4.332179812982506e-05
300,9.545441083030903e-05
310,0.0001246633767086891
320,7.150413925216537e-05
330,2.3052916954757752e-05
340,5.6322996736357656e-05
350,5.050144354828978e-05
360,1.1734670405216807e-05
370,3.621219783389584e-05
380,4.605990900347079e-05
390,2.322977213325972e-05
400,8.748080699783056e-06
410,2.205283947431802e-05
420,1.7529598262178148e-05
430,3.446017219299602e-06
440,1.5105758742250952e-05
450,1.7000275278622468e-05
460,7.191218889313067e-06
470,4.275184302238166e-06
480,8.578263842151657e-06
490,6.019530614187474e-06
500,1.2198998329271404e-06
510,6.246578345137088e-06
520,6.240325962747484e-06
530,2.167207002579108e-06
540,2.0207841038843988e-06
550,3.295809425762908e-06
560,2.069772611301701e-06
570,6.365353148463093e-07
580,2.5480710016956287e-06
590,2.2783734275333423e-06
600,6.695512429488737e-07
610,9.105024622590996e-07
620,1.257344506566671e-06
630,7.60377318664851e-07
640,3.844643611805587e-07
650,1.0295411487781791e-06
660,8.553053142401623e-07
670,1.7987909683991887e-07
680,3.978568937634819e-07
690,4.905299337276681e-07
700,2.706810728891895e-07
710,1.9925338257120728e-07
720,4.1478118534277186e-07
730,3.2432337337962025e-07
740,3.300518475191083e-08
750,1.7216516523532732e-07
760,1.9854325417067997e-07
770,9.107206477843022e-08
780,9.661769634350392e-08
790,1.7300132515440936e-07
800,1.1985979198048113e-07
810,1.1567973967618883e-08
820,7.662106848993488e-08
830,7.869087315093282e-08
840,2.8224754144989816e-08
850,4.640291084712089e-08
860,7.161363729801806e-08
870,4.307092382749289e-08
880,8.482666014053564e-09
890,3.3724834813675386e-08
900,3.048561691976204e-08
910,7.665406864809654e-09
920,2.2170614843997072e-08
930,2.9162469328269935e-08
940,1.5015922560923656e-08
950,5.727526231069646e-09
960,1.445561559343389e-08
970,1.1557397316952489e-08
980,1.8240277621650591e-09
990,1.0223102309137033e-08
1000,1.1683198242185e-08
1010,5.1270873657749405e-09
1020,3.1777402376143016e-09
1030,6.066512237001831e-09
1040,4.326222491357612e-09
1050,4.7303405636967e-10
1060,4.591774016571293e-09
1070,4.634827077687476e-09
1080,1.6828753390818463e-09
1090,1.604580690539592e-09
1100,2.5095063249658267e-09
1110,1.6293702498337836e-09
1120,5.068688802012389e-10
1130,2.0229927732984265e-09
1140,1.8546836288990676e-09
1150,4.946486553691898e-10
1160,7.687966929736945e-10
1170,1.0420947438305461e-09
1180,5.949263304216856e-10
1190,3.3313457548089787e-10
1200,8.834852294192785e-10
1210,7.296956372471186e-10
1220,1.1421652512666469e-10
1230,3.5797514952307097e-10
1240,4.330030223265169e-10
1250,2.0823576196704607e-10
1260,1.8725709871603158e-10
1270,3.843011464610413e-10
1280,2.8072649760346735e-10
1290,1.3498702156056197e-11
1300,1.6696383164926942e-10
1310,1.7731038859380988e-10
1320,6.873057678546957e-11
1330,9.920797516826951e-11
1340,1.6433449046004966e-10
1350,1.0531814309544529e-10
1360,1.5969503497359483e-11
1370,7.600181595179833e-11
1380,7.15843495591173e-11
1390,2.097622076036032e-11
1400,4.9927895151569146e-11
1410,6.920147788136433e-11
1420,3.8445358008232233e-11
1430,1.2063239296367101e-11
1440,3.3956781830823957e-11
1450,2.851585634289222e-11
1460,5.8122395785176195e-12
1470,2.4140300869390785e-11
1480,2.8898550219480512e-11
1490,1.3804790643945353e-11
1500,7.29155624767941e-12
1510,1.4980183760116006e-11
1520,1.132616223031846e-11
1530,1.2480572131323697e-12
1540,1.1380396625071398e-11
1550,1.2037482122195797e-11
1560,4.8102077876421845e-12
1570,4.0159542358253475e-12
1580,6.5750738187375646e-12
1590,4.500899652981616e-12
1600,1.2878587085651816e-12
1610,5.294098492925059e-12
1620,5.032474437172141e-12
1630,1.6262546864709293e-12
1640,2.119415754009424e-12
1650,2.9194424655543116e-12
1660,1.8001156121272288e-12
1670,9.813261314661759e-13
1680,2.4706903190008234e-12
1690,2.1197488209168114e-12
1700,5.518363543899341e-13
1710,1.1114442699522442e-12
1720,1.3237189122605741e-12
1730,7.475686736313492e-13
1740,6.357692150515959e-13
1750,1.1712297798283089e-12
1760,9.196532424482484e-13
1770,2.1121993043493603e-13
1780,5.937472735695337e-13
1790,6.257216966787382e-13
1800,3.392286451742166e-13
1810,3.943512183468556e-13
1820,5.747624598484435e-13
1830,4.2493786267527867e-13
1840,1.701971896750365e-13
1850,3.2979174946490275e-13
1860,3.1818991885756986e-13
1870,1.8135493107251932e-13
1880,2.460254222569347e-13
1890,2.9976021664879227e-13
1900,2.1777024628022446e-13
1910,1.3683498778505054e-13
1920,1.9456658506555868e-13
1930,1.7824630660356888e-13
1940,1.1429746038515987e-13
1950,1.5804024755539103e-13
1960,1.7080781233858033e-13
1970,1.2817524819297432e-13
1980,1.0497158697830855e-13
1990,1.2445600106048005e-13
