iteration,exploitability
0,0.5
10,0.23176924458200315
20,0.09050953932786177
30,0.046141424948786314
40,0.012309395608830764
50,0.010923977513613847
60,0.005543376064137628
70,0.0056062565832548095
80,0.004577607269666328
90,0.0028099642257230495
100,0.0018888397366262355
110,0.002014274090504864
120,0.002692826360381484
130,0.0023134782505580542
140,0.0011903769973374279
150,0.0007402339608727493
160,0.0008844719768939524
170,0.0010942632363665772
180,0.0008541485999052911
190,0.0006503258028165426
200,0.0005148425856610905
210,0.0005180446089537716
220,0.0005795889178282776
230,0.000420705555472356
240,0.0002483567763394978
250,0.0002457266497898347
260,0.00034551825966272487
270,0.000415330526672697
280,0.0004198529078728863
290,0.0003631039599972796
300,0.00026430293543494576
310,0.00021099202463087385
320,0.00013013251838117634
330,8.659030262803125e-05
340,9.598660332027498e-05
350,0.0001497918886795846
360,0.0001908349076057414
370,0.00021440636846215
380,0.0002196090634953296
390,0.00020759512155038573
400,0.00017874652582205997
410,0.00013224542132722616
420,7.558457930922913e-05
430,2.747685179310677e-05
440,4.328566559219649e-05
450,8.684690873445033e-05
460,0.00012228208134423824
470,0.0001438117858116872
480,0.0001512501546546141
490,0.0001477378642040783
500,0.00013775030468787808
510,0.00011483849450683037
520,8.139948860319546e-05
530,4.262976997698731e-05
540,6.611064563566416e-06
550,3.274603356667738e-05
560,6.020726405109311e-05
570,8.152715953863021e-05
580,9.59700690120191e-05
590,0.00010257506357547186
600,0.0001012354567022089
610,9.249816975598346e-05
620,7.639682219640065e-05
630,5.49751777850771e-05
640,3.082829640344009e-05
650,7.15362445602441e-06
660,2.0500680625923362e-05
670,3.983850504990505e-05
680,5.516707399794152e-05
690,6.625210733801623e-05
700,7.21862799757389e-05
710,7.217200716341798e-05
720,6.70669811206892e-05
730,5.699251460511423e-05
740,4.312090702363047e-05
750,2.675907615062867e-05
760,9.739316728762937e-06
770,9.188221470168845e-06
780,2.3843731573547355e-05
790,3.602068466640462e-05
800,4.5021576238257754e-05
810,5.032460426868113e-05
820,5.1656397888177885e-05
830,4.942171140781548e-05
840,4.371636000966017e-05
850,3.499325033495815e-05
860,2.418847749635633e-05
870,1.2307612607620477e-05
880,1.560256133514848e-06
890,1.269071652076903e-05
900,2.2299181735019324e-05
910,2.9820279260850402e-05
920,3.496620960807828e-05
930,3.73573718486786e-05
940,3.6928244955214407e-05
950,3.405291473496108e-05
960,2.8770486355578218e-05
970,2.1647226069232417e-05
980,1.3351867762856351e-05
990,4.675699070311179e-06
1000,5.057806095942752e-06
1010,1.2725411875080805e-05
1020,1.9130852954019062e-05
1030,2.3861031673289013e-05
1040,2.665483251723666e-05
1050,2.7387160497105434e-05
1060,2.627135008403947e-05
1070,2.3397602140817764e-05
1080,1.896768029302498e-05
1090,1.3403830211700107e-05
1100,7.179777876620275e-06
1110,9.75026413052582e-07
1120,6.225298494699771e-06
1130,1.1506846879838495e-05
1140,1.5723365359932018e-05
1150,1.8661555949150976e-05
1160,2.0122635555508417e-05
1170,2.0072155089034815e-05
1180,1.8748859003658858e-05
1190,1.6127323446246677e-05
1200,1.2466989114778837e-05
1210,8.097765552494973e-06
1220,3.4098387690639775e-06
1230,1.9371651954203095e-06
1240,6.249186930207262e-06
1250,9.922343536583611e-06
1260,1.271691224213889e-05
1270,1.447369227280948e-05
1280,1.5114434338103777e-05
1290,1.4711082197749192e-05
1300,1.3355900872757953e-05
1310,1.1107665511045361e-05
1320,8.175285836464763e-06
1330,4.805450516176535e-06
1340,1.2669069403004052e-06
1350,2.712792494752314e-06
1360,5.776853683692185e-06
1370,8.297848505811611e-06
1380,1.0124496492680546e-05
1390,1.1144325810508171e-05
1400,1.1318062205945001e-05
1410,1.076603777422358e-05
1420,9.484597911613157e-06
1430,7.581974850845441e-06
1440,5.227920648609441e-06
1450,2.621796438839752e-06
1460,4.121763143016821e-07
1470,2.9226052530861857e-06
1480,5.11578721273942e-06
1490,6.84490264818427e-06
1500,8.007794283948488e-06
1510,8.547633686961653e-06
1520,8.46994098735454e-06
1530,7.86289923715433e-06
1540,6.722213858501025e-06
1550,5.155144074120432e-06
1560,3.2942904634181147e-06
1570,1.2860835267858306e-06
1580,1.0240481720935612e-06
1590,2.8493163887755024e-06
1600,4.396347160540159e-06
1610,5.564654773970723e-06
1620,6.283699921783015e-06
1630,6.522313168222382e-06
1640,6.320554485128582e-06
1650,5.705389579946374e-06
1660,4.709488343301871e-06
1670,3.4225340748150757e-06
1680,1.95076183767684e-06
1690,4.156418276224372e-07
1700,1.2921241869245925e-06
1710,2.626149458451188e-06
1720,3.7138422990801168e-06
1730,4.48871873542922e-06
1740,4.909386302820451e-06
1750,4.962810829067799e-06
1760,4.705492559986535e-06
1770,4.12944382416347e-06
1780,3.284778723966486e-06
1790,2.244037478504879e-06
1800,1.090252082835974e-06
1810,2.719818999463719e-07
1820,1.3742361939517167e-06
1830,2.334409877624566e-06
1840,3.0872360424205603e-06
1850,3.5869689548606587e-06
1860,3.808962441675945e-06
1870,3.760247279160911e-06
1880,3.4734318630769145e-06
1890,2.950966785930653e-06
1900,2.2407199334328887e-06
1910,1.402071741707367e-06
1920,5.025094501620586e-07
1930,5.177988953164459e-07
1940,1.3369562162357518e-06
1950,2.0251968045892355e-06
1960,2.5391890902115577e-06
1970,2.8497990300357934e-06
1980,2.9441998846135853e-06
1990,2.84390461208206e-06
