iteration,exploitability
0,0.5
10,0.5135279403262134
20,0.25520510126575713
30,0.14832604439054742
40,0.07300312603684306
50,0.05778429632799886
60,0.047375542111969426
70,0.021416502190511888
80,0.019427739918493225
90,0.012908293054393671
100,0.009189691945524825
110,0.00784607243492208
120,0.008398172124686798
130,0.005408472400886044
140,0.005262462005029056
150,0.004316677251167078
160,0.004148806622040313
170,0.0038985858095192394
180,0.004655042072775506
190,0.003161682817014233
200,0.0016979316920576748
210,0.0018064328399483576
220,0.0024065269885324425
230,0.001604760292890084
240,0.000710272024311176
250,0.0020790072681299843
260,0.001911699701514502
270,0.0009202608730938255
280,0.0008741585714853173
290,0.0013787866387074965
300,0.00100903610978198
310,0.0005784589512655147
320,0.0011046217570852557
330,0.0011905114733740119
340,0.0005021050792032855
350,0.00043177971227653655
360,0.0008011414795965899
370,0.0006285026321837806
380,0.00011729173802405013
390,0.0006064906604262843
400,0.0007543628377482681
410,0.00041307342488589027
420,0.00019095550080072687
430,0.0004742568922079249
440,0.0004305870950251367
450,0.00012875842204163046
460,0.00033757339608703196
470,0.00047552572447745467
480,0.0003088419865959202
490,6.600380632842962e-05
500,0.0002860827249294706
510,0.0002954229814539633
520,0.00011280283882691977
530,0.00017954558642180318
540,0.00030775662980919716
550,0.00022571572713731003
560,3.878511784427552e-05
570,0.0001711776765219164
580,0.00019695948313713796
590,9.63241867816822e-05
600,9.328631139832178e-05
610,0.00019742161530034164
620,0.00016186422456471172
630,2.8610517210370112e-05
640,0.00010049894880248544
650,0.00013233347034180554
660,7.864838525811768e-05
670,4.3915639318381494e-05
680,0.00012541087117823313
690,0.00011724120493555867
700,3.3649137346936087e-05
710,5.873575727782798e-05
720,8.965357813489616e-05
730,6.0968672182748485e-05
740,1.6332336933322367e-05
750,7.972745629103439e-05
760,8.323916152142008e-05
770,3.188886881644315e-05
780,3.351694301395591e-05
790,6.005773313716434e-05
800,4.547953063094301e-05
810,4.649370319076418e-06
820,5.004563265109674e-05
830,5.8090349876804837e-05
840,2.8669434067596367e-05
850,1.8082687879672488e-05
860,3.965291105545443e-05
870,3.3969831729929734e-05
880,6.740766543833487e-06
890,3.050478075605767e-05
900,4.066365663868421e-05
910,2.385430604096017e-05
920,8.653977563832793e-06
930,2.6189004950660788e-05
940,2.498059434169475e-05
950,7.491891144462137e-06
960,1.8385507230544995e-05
970,2.831804589176201e-05
980,1.885291161296543e-05
990,3.462688210331688e-06
1000,1.7132134131014887e-05
1010,1.797681582577093e-05
1020,7.243421805303019e-06
1030,1.0806883136149636e-05
1040,1.9391506695831673e-05
1050,1.4541540428625321e-05
1060,9.363848722521162e-07
1070,1.0966826100244909e-05
1080,1.282053475681888e-05
1090,6.472504323951078e-06
1100,5.925341387713612e-06
1110,1.3118068391659854e-05
1120,1.1135360579339615e-05
1130,1.9048094330731402e-06
1140,6.841006594371368e-06
1150,9.135640158197678e-06
1160,5.3818574891617565e-06
1170,2.942891558832539e-06
1180,8.864803546670963e-06
1190,8.320126055005872e-06
1200,2.3109657069086964e-06
1210,4.25530651732009e-06
1220,6.441960776926159e-06
1230,4.2905579989427345e-06
1240,1.2582977796937733e-06
1250,5.8788964121814224e-06
1260,6.100143151555049e-06
1270,2.3508484268131014e-06
1280,2.5404070651546817e-06
1290,4.471315015686095e-06
1300,3.3746887159735728e-06
1310,2.9369035897675033e-07
1320,3.822934208863593e-06
1330,4.446380071743139e-06
1340,2.134125834607481e-06
1350,1.4252984025242554e-06
1360,3.08725363556972e-06
1370,2.6015312169502813e-06
1380,4.2749482209725187e-07
1390,2.4469989899911226e-06
1400,3.2022383794072518e-06
1410,1.8097460119381736e-06
1420,7.406681619692712e-07
1430,2.1125027490076498e-06
1440,1.9594404113698616e-06
1450,5.381412910288041e-07
1460,1.535379604789e-06
1470,2.2791083861828376e-06
1480,1.4769712461393247e-06
1490,3.371682422148581e-07
1500,1.4181040369765086e-06
1510,1.4526995021357791e-06
1520,5.529093937139962e-07
1530,9.271354540762999e-07
1540,1.6033180422758697e-06
1550,1.1817213503850788e-06
1560,9.771650782974817e-08
1570,9.337842294954157e-07
1580,1.071099977600909e-06
1590,5.046979605349833e-07
1600,5.312089119136054e-07
1610,1.1225480472387694e-06
1620,9.206750836154853e-07
1630,1.1792940601829116e-07
1640,6.092028790316562e-07
1650,7.764290577139121e-07
1660,4.314745370992412e-07
1670,2.855159680348329e-07
1680,7.739262271599934e-07
1690,7.021234446069613e-07
1700,1.7299937560277812e-07
1710,3.869847858828379e-07
1720,5.56293546338793e-07
1730,3.5757993921414766e-07
1740,1.3418897626404913e-07
1750,5.245606623516252e-07
1760,5.28775468910947e-07
1770,1.852679629710252e-07
1780,2.3712523783414596e-07
1790,3.966838973967768e-07
1800,2.8786118910772984e-07
1810,4.371962541993568e-08
1820,3.5039639983969195e-07
1830,3.9292016346115233e-07
1840,1.7392817086570034e-07
1850,1.391876904288658e-07
1860,2.801123418216811e-07
1870,2.2572024277467406e-07
1880,2.5645251422456994e-08
1890,2.3033024598717589e-07
1900,2.87356212214096e-07
1910,1.5237172595883308e-07
1920,7.726460998780382e-08
1930,1.9475106788346963e-07
1940,1.7355350134806713e-07
1950,4.0391538891348944e-08
1960,1.4754490990087632e-07
1970,2.0753580032284447e-07
1980,1.2855458864091673e-07
1990,3.815392979333865e-08
