iteration,exploitability
0,0.5
10,0.20538729965518843
20,0.0975212086095007
30,0.060316511970106235
40,0.019322134583349637
50,0.019937094779492792
60,0.010852846223569135
70,0.0121007080087282
80,0.006809317321589514
90,0.005129762539991867
100,0.0032306050252521867
110,0.002608709220688732
120,0.003437084465541085
130,0.0031896786398167842
140,0.0025063787388255876
150,0.0011480116227396975
160,0.0012179655890158236
170,0.001730378912209507
180,0.0015758357317139926
190,0.001075475434987927
200,0.0005543204556156534
210,0.0007669188184395437
220,0.0011607266357941959
230,0.0010955324006374223
240,0.0007170064385616515
250,0.00037861430978336497
260,0.00040022301282000017
270,0.000612403526916383
280,0.0006124432874737851
290,0.00040129999771365554
300,0.00011794220088912066
310,0.00028342899528799315
320,0.0004427919106410605
330,0.0004353257664853061
340,0.0002788123574938295
350,6.275333448696463e-05
360,0.00017989513661287315
370,0.00024728654284184026
380,0.00024341264303850974
390,0.00015457323811468582
400,4.5814877690897315e-05
410,0.00013683909244827097
420,0.00018367588344175845
430,0.0001735245559180143
440,0.00010789311667619428
450,3.8482821870244877e-05
460,8.490690036228044e-05
470,0.00010399182371823024
480,9.834666908892231e-05
490,6.092816817354629e-05
500,3.2896000098814326e-05
510,6.460492742488277e-05
520,7.761657264443445e-05
530,7.226289012868259e-05
540,4.2470169484942755e-05
550,2.4578636824257316e-05
560,3.9832506843140436e-05
570,4.5824726757126566e-05
580,4.185895393021832e-05
590,2.3895306112187154e-05
600,2.0180285549564747e-05
610,2.9927816286690057e-05
620,3.480581972054031e-05
630,3.0851425607769656e-05
640,1.6532851854489383e-05
650,1.4087008973595605e-05
660,1.8620137928304636e-05
670,2.078795528015487e-05
680,1.791371234327599e-05
690,9.212318696938393e-06
700,1.1275962489898372e-05
710,1.3750689301872399e-05
720,1.582888480677891e-05
730,1.3260906256085114e-05
740,6.266042694880181e-06
750,7.5186406153227026e-06
760,8.398073466031608e-06
770,9.43612170273278e-06
780,7.706383525096783e-06
790,3.6093282138049965e-06
800,5.894555926033718e-06
810,6.109340138060748e-06
820,7.274881293650726e-06
830,5.692812084401311e-06
840,2.4697242277937903e-06
850,3.7981860950830892e-06
860,3.7746497849044935e-06
870,4.343638001447214e-06
880,3.301109292364046e-06
890,2.0482549547562456e-06
900,2.9247765090389954e-06
910,3.0382906753279038e-06
920,3.3443955785306123e-06
930,2.4240839666123115e-06
940,1.4502126887694367e-06
950,1.832334103779587e-06
960,1.8760159468667048e-06
970,1.998667351010841e-06
980,1.3987746275700985e-06
990,1.1852316982308153e-06
1000,1.3925966776406895e-06
1010,1.5026864640388382e-06
1020,1.5359280105542439e-06
1030,1.0176518935312018e-06
1040,7.969503056370897e-07
1050,8.5072516431417e-07
1060,9.258713908888438e-07
1070,9.164767121316864e-07
1080,5.824248830443857e-07
1090,6.330168181301055e-07
1100,6.300680313597873e-07
1110,7.372433991625904e-07
1120,7.011099912301866e-07
1130,4.181822533255719e-07
1140,4.0983204041555865e-07
1150,3.7573665268020306e-07
1160,4.5270409099185116e-07
1170,4.168950907823543e-07
1180,2.560973689780255e-07
1190,3.17519702308644e-07
1200,2.7296785287678205e-07
1210,3.5833119133021896e-07
1220,3.1705678016358263e-07
1230,1.819033269012671e-07
1240,2.0001172196248973e-07
1250,1.6448877571129117e-07
1260,2.1916026010648793e-07
1270,1.876184175242379e-07
1280,1.3793700626152372e-07
1290,1.5108504469729667e-07
1300,1.3649392754944145e-07
1310,1.725070679081675e-07
1320,1.416714522362028e-07
1330,9.409066226151452e-08
1340,9.302628484197939e-08
1350,8.681157132039985e-08
1360,1.05030627861602e-07
1370,8.330471529260919e-08
1380,7.300507809393508e-08
1390,6.888831483031765e-08
1400,7.113235189759592e-08
1410,8.216934871407844e-08
1420,6.237019878341243e-08
1430,4.809134984684604e-08
1440,4.094708416779724e-08
1450,4.484476817667726e-08
1460,4.976284473379167e-08
1470,3.638545476025712e-08
1480,3.625300448728552e-08
1490,2.9538807844176063e-08
1500,3.637185136406984e-08
1510,3.8731477247644364e-08
1520,2.6967477584349808e-08
1530,2.4380581886696007e-08
1540,1.690988182811992e-08
1550,2.2767492668940292e-08
1560,2.3356273859409526e-08
1570,1.7537518437471533e-08
1580,1.7182870182264054e-08
1590,1.2611337529833122e-08
1600,1.830146545422906e-08
1610,1.8079210462040862e-08
1620,1.3027326495329561e-08
1630,1.233949659118494e-08
1640,8.223811576169027e-09
1650,1.1371097674572894e-08
1660,1.0838008768221385e-08
1670,8.74869160449876e-09
1680,8.74765920810816e-09
1690,6.0859157713366585e-09
1700,9.067029571596663e-09
1710,8.331437206798853e-09
1720,6.895781945459589e-09
1730,6.161607335464225e-09
1740,4.094343086791241e-09
1750,5.5936208998019765e-09
1760,4.962179278589218e-09
1770,4.650842100328845e-09
1780,4.393726993345837e-09
1790,3.3129192722469725e-09
1800,4.4276923794051015e-09
1810,3.787461122506386e-09
1820,3.620436450635367e-09
1830,3.019195282671916e-09
1840,2.1315628706553014e-09
1850,2.712729818554749e-09
1860,2.3320926856307267e-09
1870,2.4898110240201277e-09
1880,2.1604173450207043e-09
1890,1.7512662431329318e-09
1900,2.1328923072161388e-09
1910,1.6975561512033721e-09
1920,1.8870208173815683e-09
1930,1.4483860777403379e-09
1940,1.113087289006387e-09
1950,1.2979429753201543e-09
1960,1.1670849842104758e-09
1970,1.3067758541929209e-09
1980,1.0388622184720475e-09
1990,9.038811921158185e-10
