iteration,exploitability
0,0.5
10,0.35467136536659494
20,0.18827653515926246
30,0.08895714110134989
40,0.057197943660525
50,0.030045435077868443
60,0.03864637487404721
70,0.02679236228446552
80,0.013019286805176777
90,0.01217602066228829
100,0.012529804610730944
110,0.013896263188597324
120,0.006749624798211451
130,0.006009033697310484
140,0.004405890951921121
150,0.008104543023657151
160,0.004665781976773642
170,0.003916199507482232
180,0.002749133740312215
190,0.0035399785864978495
200,0.00397770459244251
210,0.003557791746735761
220,0.0017022640036918335
230,0.0010004460931529735
240,0.0024259672297068935
250,0.002702302913421384
260,0.001734501081669504
270,0.0007895881995226839
280,0.0015950256362212145
290,0.0019993543164841254
300,0.0016236862499822702
310,0.0005496263923475131
320,0.0009634507236900292
330,0.001460535514740735
340,0.0014052632057185988
350,0.0007354731213909393
360,0.0005286702626330908
370,0.0011889133163044407
380,0.0012098683757215678
390,0.0007938849960678618
400,0.000367347212447966
410,0.0007668357691722472
420,0.000988594767523665
430,0.0007957263866096853
440,0.00030095176247030286
450,0.0005017725424423247
460,0.0008298725060344458
470,0.0007564737980467195
480,0.0003523159650637431
490,0.0002808673704591813
500,0.000594835800122373
510,0.0006641503593994846
520,0.000415261248666865
530,0.0002402238501847398
540,0.00044490991604145824
550,0.0005869703050804809
560,0.0004433485330879172
570,0.00018223367105280053
580,0.00026145351178957776
590,0.00045482749804509615
600,0.00041924306016033475
610,0.00019334487479960583
620,0.0001743078770850559
630,0.00036115426006916307
640,0.000392548614276067
650,0.0002439431743788134
660,0.00014428646614955687
670,0.00023728431800468242
680,0.00032270106974235935
690,0.0002556890641230991
700,0.00012874021898928723
710,0.00015374542475227182
720,0.00026932784957017786
730,0.0002569140866582331
740,0.00014359132380115103
750,8.372421558971999e-05
760,0.00019023280714280943
770,0.00022480799034113597
780,0.0001658351069153685
790,7.853422432235746e-05
800,0.00013424033471209906
810,0.000198378069251548
820,0.00017625437985324677
830,7.432936309897942e-05
840,6.914176859251775e-05
850,0.00015063216346872244
860,0.000162375007290938
870,9.941618219672099e-05
880,2.9662510424799393e-05
890,0.0001147441183732556
900,0.000149714082603003
910,0.0001142635533714631
920,2.8519783310088087e-05
930,6.960986847193151e-05
940,0.00011992510769337494
950,0.00011163663320445938
960,5.23261471543357e-05
970,3.625437020771116e-05
980,9.667323572143394e-05
990,0.00010699947574904778
1000,6.882555689480263e-05
1010,1.1376191311696093e-05
1020,6.49572498650497e-05
1030,8.973392668754077e-05
1040,7.250049899371058e-05
1050,2.706874566471562e-05
1060,4.069855960997515e-05
1070,7.594463090576653e-05
1080,7.369317945010723e-05
1090,4.267059289325692e-05
1100,1.660000943620732e-05
1110,5.442887284595743e-05
1120,6.474198730904712e-05
1130,4.9034526042768256e-05
1140,1.118213491607678e-05
1150,3.770301018124478e-05
1160,5.7790418690750744e-05
1170,5.302967618397991e-05
1180,2.4027376795465738e-05
1190,1.919281558204755e-05
1200,4.394732457263517e-05
1210,4.880130821716122e-05
1220,3.11177807384988e-05
1230,1.2964403444726269e-05
1240,3.312943360994636e-05
1250,4.517911474760661e-05
1260,3.609852289621074e-05
1270,1.1198669738643474e-05
1280,1.969155488396046e-05
1290,3.619651109670885e-05
1300,3.492080214928528e-05
1310,1.7658963393896165e-05
1320,1.1273018065693918e-05
1330,2.9117593854210977e-05
1340,3.375045960751777e-05
1350,2.2863633738934297e-05
1360,1.0434773799250507e-05
1370,1.927152796121767e-05
1380,2.8170453908182846e-05
1390,2.370351927599712e-05
1400,9.43511972034683e-06
1410,1.1675169404701258e-05
1420,2.382629257352553e-05
1430,2.406760576378897e-05
1440,1.4344323319759322e-05
1450,7.79504838260836e-06
1460,1.6929668133491838e-05
1470,2.1004594204954152e-05
1480,1.624596351856855e-05
1490,6.5564378146643065e-06
1500,1.1524965575826496e-05
1510,1.855036391557041e-05
1520,1.7463924429417244e-05
1530,8.430132659442702e-06
1540,5.596254342765672e-06
1550,1.4012887128767026e-05
1560,1.5983182880097146e-05
1570,1.0657827621773919e-05
1580,3.680452377474719e-06
1590,1.0389505418872957e-05
1600,1.4804338752116841e-05
1610,1.2218801898222775e-05
1620,4.0826798223259075e-06
1630,6.031373361303771e-06
1640,1.1812100609187581e-05
1650,1.1757639531206898e-05
1660,6.344216957498983e-06
1670,2.568412792058883e-06
1680,9.37439023529496e-06
1690,1.131086691202876e-05
1700,8.033531316176123e-06
1710,1.4772920192140937e-06
1720,6.146699472797668e-06
1730,9.423478853076706e-06
1740,8.214874640977143e-06
1750,3.4667893104578518e-06
1760,3.5390619447239757e-06
1770,7.896551548869368e-06
1780,8.288032890824137e-06
1790,5.125966812347116e-06
1800,1.031474090140705e-06
1810,5.578820862661704e-06
1820,7.173337289223536e-06
1830,5.676196134396516e-06
1840,1.6533718384947882e-06
1850,3.699552443614529e-06
1860,6.324546416580645e-06
1870,6.085372241670939e-06
1880,3.1142408536966038e-06
1890,1.7137920554355368e-06
1900,4.724954426882366e-06
1910,5.517026832435601e-06
1920,3.8065480773563642e-06
1930,9.899140295255293e-07
1940,3.437827646113334e-06
1950,5.089378692257895e-06
1960,4.3469234705662e-06
1970,1.603887371803836e-06
1980,1.926919651562553e-06
1990,4.022470495967934e-06
