iteration,exploitability
0,0.5
10,0.5334284618674527
20,0.09934993963998506
30,0.03769811692953201
40,0.013320096867643128
50,0.009573661740083117
60,0.005128282764800263
70,0.004781392074580115
80,0.0015432791595023643
90,0.0013969659922635214
100,0.0019540931887682134
110,0.001487002265716686
120,0.0006398564730639711
130,0.0005338414460875907
140,0.0006269003942399043
150,0.0004966769174050145
160,0.00021553945734248403
170,0.00023704070781199738
180,0.0003459953675016836
190,0.0002831097876013766
200,9.274664404557154e-05
210,0.00010088246024175795
220,0.00012004373876645102
230,9.06862421269361e-05
240,4.200696301254192e-05
250,5.672407523166223e-05
260,7.54932899594829e-05
270,4.7168462866786776e-05
280,1.785674693233208e-05
290,2.261284963128718e-05
300,2.5588038956025905e-05
310,1.3671564498385358e-05
320,9.111057117983101e-06
330,1.6465724256287118e-05
340,1.5172241326966152e-05
350,5.974260705199352e-06
360,3.871309770087095e-06
370,6.0170509306733955e-06
380,4.803276781872867e-06
390,2.1711695828430244e-06
400,2.8334420443254515e-06
410,4.031107609991924e-06
420,2.7014006368508703e-06
430,8.601288695175846e-07
440,1.1911241160067476e-06
450,1.4014040032872543e-06
460,8.33189514770627e-07
470,3.838645089571102e-07
480,9.229082550410439e-07
490,8.976783462677496e-07
500,3.8962856535595947e-07
510,1.6974648514578305e-07
520,3.5509537960054516e-07
530,2.998446493318596e-07
540,1.0215084828013588e-07
550,1.67656368732505e-07
560,2.519730006311782e-07
570,1.7169546445705564e-07
580,3.238305934516461e-08
590,7.58172774562027e-08
600,9.029884995293003e-08
610,5.173040984463029e-08
620,1.531963822465343e-08
630,6.11011356510538e-08
640,5.825374271850592e-08
650,2.4274594279116712e-08
660,1.1420136059037134e-08
670,2.381672536966306e-08
680,1.9361927672267853e-08
690,5.794821178461973e-09
700,1.1834698721013837e-08
710,1.696826945618568e-08
720,1.1288686541099935e-08
730,9.184574212284247e-10
740,5.311376061190032e-09
750,6.043681610723439e-09
760,3.39574285357358e-09
770,1.2689964079548588e-09
780,4.2843036895945374e-09
790,3.990725083724556e-09
800,1.5758878646465746e-09
810,8.626562797431347e-10
820,1.6761158572187185e-09
830,1.3314437330436135e-09
840,3.4977143403835953e-10
850,8.780243754280548e-10
860,1.204467414694932e-09
870,7.695021841946925e-10
880,8.743256119103648e-11
890,3.9319286715411295e-10
900,4.30536162276951e-10
910,2.2706725388843552e-10
920,1.0977280195945127e-10
930,3.1617480855672397e-10
940,2.8234881099820086e-10
950,1.0157819030354176e-10
960,6.978545519231716e-11
970,1.23472787549872e-10
980,9.347012053240178e-11
990,2.063949011699151e-11
1000,6.824085740930741e-11
1010,8.797251815906293e-11
1020,5.36895528036041e-11
1030,9.148348745213752e-12
1040,3.0371372083948245e-11
1050,3.163036499387317e-11
1060,1.5641765660490137e-11
1070,9.856060412261058e-12
1080,2.405220467238678e-11
1090,2.0648538434642205e-11
1100,6.796452289847821e-12
1110,5.945022252262788e-12
1120,9.478307028132349e-12
1130,6.885214620666602e-12
1140,1.4264145420384011e-12
1150,5.556333171341521e-12
1160,6.726119661237817e-12
1170,3.9463987633325814e-12
1180,7.768785614814533e-13
1190,2.520761377411418e-12
1200,2.4909518892002325e-12
1210,1.1937117960769683e-12
1220,9.883205365213144e-13
1230,1.973865515481066e-12
1240,1.6358026044827056e-12
1250,5.496159083406837e-13
1260,6.023515020103787e-13
1270,8.27837798311748e-13
1280,5.981881656680343e-13
1290,1.7386092565629951e-13
1300,5.377365219771946e-13
1310,5.979661210631093e-13
1320,3.6637359812630166e-13
1330,1.475486399726833e-13
1340,2.760014439218139e-13
1350,2.6079138848444927e-13
1360,1.5260015473472777e-13
1370,1.5393242236427795e-13
1380,2.1932455851469967e-13
1390,1.8429702208777599e-13
1400,9.603429163007604e-14
1410,1.0719203302755886e-13
1420,1.1940448629843559e-13
1430,9.797718192317006e-14
1440,6.628031457012185e-14
1450,9.35918009759007e-14
1460,9.420242363944453e-14
1470,7.30526750203353e-14
1480,5.717648576819556e-14
1490,6.444844657949034e-14
1500,6.122879980807738e-14
1510,5.0737192225369654e-14
1520,5.079270337660091e-14
1530,5.3512749786932545e-14
1540,4.879430193227563e-14
1550,4.3298697960381105e-14
1560,4.207745263329343e-14
1570,4.113376306236205e-14
1580,3.952393967665557e-14
1590,3.83026943495679e-14
1600,3.7414515929867775e-14
1610,3.6415315207705135e-14
1620,3.558264793923627e-14
1630,3.4861002973229915e-14
1640,3.391731340229853e-14
1650,3.325117958752344e-14
1660,3.2307490016592055e-14
1670,3.141931159689193e-14
1680,3.086420008457935e-14
1690,3.0253577421035516e-14
1700,2.9476421303797906e-14
1710,2.881028748902281e-14
1720,2.8310687127941492e-14
1730,2.7755575615628914e-14
1740,2.708944180085382e-14
1750,2.6645352591003757e-14
1760,2.6145752229922437e-14
1770,2.581268532253489e-14
1780,2.525757381022231e-14
1790,2.4924506902834764e-14
1800,2.4591439995447217e-14
1810,2.398081733190338e-14
1820,2.3425705819590803e-14
1830,2.3148150063434514e-14
1840,2.2870594307278225e-14
1850,2.2648549702353193e-14
1860,2.220446049250313e-14
1870,2.1926904736346842e-14
1880,2.1815882433884326e-14
1890,2.148281552649678e-14
1900,2.098321516541546e-14
1910,2.0872192862952943e-14
1920,2.070565940925917e-14
1930,2.0483614804334138e-14
1940,2.0039525594484076e-14
1950,1.9872992140790302e-14
1960,1.970645868709653e-14
1970,1.942890293094024e-14
1980,1.9206858326015208e-14
1990,1.892930256985892e-14
